city,commissions_total,commissions_active,commissions_expired
Miles,34,25,9
Lockney,34,31,3
Lamarque,34,30,4
Roby,34,31,3
Palo Pinto,34,30,4
Crosbyton,33,30,3
Booker,33,33,0
Vega,33,30,3
Santo,33,31,2
Cushing,33,28,5
Morgan,33,29,4
Krugerville,33,29,4
Frost,33,31,2
Cross Plains,33,30,3
Rocksprings,33,28,5
Cove,33,28,5
La Villa,32,29,3
Hale Center,32,28,4
Bayou Vista,32,26,6
Sadler,32,26,6
Oakwood,32,27,5
Como,31,28,3
Gordonville,31,24,7
Bangs,31,30,1
Ralls,31,27,4
Ft. Worth,31,30,1
Gregory,31,26,5
Reno,31,26,5
Gruver,31,26,5
Cottonwood Shores,31,28,3
Mount Enterprise,31,23,8
Holly Lake Ranch,31,28,3
Center Point,31,28,3
Rancho Viejo,31,26,5
Memphis,30,28,2
Little River Academy,30,26,4
Arcola,30,26,4
Van Vleck,30,28,2
Blum,30,27,3
Gordon,30,26,4
Robert Lee,30,22,8
Brock,30,29,1
Saint Jo,30,29,1
Spur,29,28,1
Wink,29,26,3
Monte Alto,29,28,1
Rosebud,29,25,4
Freer,29,26,3
Olton,29,28,1
Westworth Village,29,24,5
Waelder,29,25,4
Washington,28,21,7
Lake Kiowa,28,25,3
Moulton,28,28,0
Kennard,28,27,1
Cat Spring,28,23,5
Cross Roads,28,26,2
Morton,28,25,3
Midway,28,23,5
Barry,28,28,0
Liverpool,27,23,4
Mt Vernon,27,26,1
City,27,24,3
Throckmorton,27,22,5
Sundown,27,24,3
Pineland,27,22,5
Ropesville,27,25,2
Bruceville,27,23,4
Mertzon,27,27,0
Sunray,27,24,3
De Berry,27,22,5
Sierra Blanca,27,26,1
Claude,27,25,2
Karnack,26,25,1
Pickton,26,19,7
Kirby,26,22,4
Aquilla,26,24,2
Blue Mound,26,21,5
Bartonville,26,23,3
Thrall,26,24,2
Skidmore,26,21,5
Milano,26,26,0
Village Mills,26,24,2
Montague,26,24,2
Coupland,25,20,5
Avery,25,23,2
Louise,25,22,3
Mc Camey,25,22,3
Wortham,25,22,3
Barker,25,23,2
Buffalo Gap,25,20,5
Apple Springs,25,22,3
Mc Allen,25,22,3
Christoval,25,22,3
Sumner,25,23,2
Rankin,25,23,2
Blanket,25,24,1
Seadrift,25,19,6
Santa Anna,25,24,1
Roscoe,25,21,4
Detroit,25,23,2
May,24,19,5
Eden,24,23,1
Perrin,24,21,3
